MER_NCM,MER_DESCRICAONFE_TRATADO
02023000,1003000KGSDECARNECONGELADADEBOVINOSEMOSSOCONTRAFILEANGUSNOREGISTROSIFDIPOA83394URUMARCATACUA
02023000,16300KGSDECARNECONGELADADEBOVINOSEMOSSOPICANHANºREGISTROSIFDIPOA38394URUMARCATACUAREMBÓ
02023000,19650KGSDECARNECONGELADADEBOVINOSEMOSSOPICANHAANGUSNºREGISTROSIFDIPOA83394URUMARCATACUAREM
02023000,2007000KGSDECARNECONGELADADEBOVINOSEMOSSOFILEDECOSTELAANGUSNOREGISTROSIFDIPOA83394URUMARCAT
02023000,3007000KGSDECARNECONGELADADEBOVINOSEMOSSOPICANHANOREGISTROSIFDIPOA38394URUMARCATACUAREMBO
02044200,1828000KGSDECARNECONGELADADEOVINOCOMOSSOCORTESCARRE(TBONE)NOREGISTROSIFDIPOA1391MARCAFLT
02044200,319000KGSDECARNECONGELADADEOVINOCOMOSSOCORTESCARRE(FRANCES)PECASDE1040A1160GRAMASNOREGISTROSIF
02044200,420000KGSDECARNECONGELADADEOVINOCOMOSSOCORTESCARRE(FRANCES)PECASDE680A1040GRAMASNOREGISTROSIF
02044200,4510000KGSDECARNECONGELADADEOVINOCOMOSSOCORTESPALETANOREGISTROSIFDIPOA1391MARCAFLTLATRINI
02044200,460000KGSDECARNECONGELADADEOVINOCOMOSSOCORTESCARRE(FRANCES)PECASDE920GRAMASNOREGISTROSIFDIPOA
02044200,4998000KGSDECARNECONGELADADEOVINOCOMOSSOCORTESCOSTELANOREGISTROSIFDIPOA1391MARCAFLTLATRIN
02044200,5011000KGSDECARNECONGELADADEOVINOCOMOSSOCORTESPERNILNOREGISTROSIFDIPOA1391MARCAFLTLATRINI
02044200,921000KGSDECARNECONGELADADEOVINOCOMOSSOCORTESCARRE(CURTO)NOREGISTROSIFDIPOA1391MARCAFLTLA
02044200,CARNECONGELADADEOVINOCOMOSSOCARRE(CURTO)EMBALADOAVACUOACONDICIONADOEM95CAIXASDEPAPELAOMARCAFLT
02044200,CARNECONGELADADEOVINOCOMOSSOCARRE(FRANCES)EMBALADOAVACUOACONDICIONADOEM2CAIXASDEPAPELAOMARCAFLT
02044200,CARNECONGELADADEOVINOCOMOSSOCARRE(FRANCES)EMBALADOAVACUOACONDICIONADOEM49CAIXASDEPAPELAOMARCAFLT
02044200,CARNECONGELADADEOVINOCOMOSSOCARRE(FRANCES)EMBALADOAVACUOACONDICIONADOEM71CAIXASDEPAPELAOMARCAFLT
02044200,CARNECONGELADADEOVINOCOMOSSOCARRE(TBONE)EMBALADOAVACUOACONDICIONADOEM161CAIXASDEPAPELAOMARCAFLT
02044200,CARNECONGELADADEOVINOCOMOSSOCOSTELAEMBALADOAVACUOACONDICIONADOEM500CAIXASDEPAPELAOMARCAFLTLATR
02044200,CARNECONGELADADEOVINOCOMOSSOPALETAEMBALADOAVACUOACONDICIONADOEM563CAIXASDEPAPELAOMARCAFLTLATRI
02044200,CARNECONGELADADEOVINOCOMOSSOPERNILEMBALADOAVACUOACONDICIONADOEM432CAIXASDEPAPELAOMARCAFLTLATRI
02044300,1047000KGSDECARNECONGELADADEOVINOSEMOSSOCORTESALCATRANOREGISTROSIFDIPOA1191MARCAFLTLATRIN
02044300,CARNECONGELADADEOVINOSEMOSSOALCATRAEMBALADOAVACUOEACONDICIONADOEM96CAIXASDEPAPELAOMARCAFLTLAT
03036300,10000000KGSLIQUIDOSDELOMBOSDEBACALHAUDESSALGADOCONGELADO10X1KGGADUSMORHUADEMULTRACONGELADOACONDIC
03036300,1000000KGSLIQUIDOSDELOMBOSDEBACALHAUDESSALGADOCONGELADO10X1KGGADUSMORHUADEMULTRACONGELADOACONDICI
03036300,1440000KGSLIQUIDOSDELOMBOSDEBACALHAUDESSALGADOCONGELADO16X06KGCX96KGGADUSMORHUADEMULTRACONGEL
03036300,1440000KGSLIQUIDOSDELOMBOSDEBACALHAUDESSALGADOCONGELADO16X06KGCX96KGGADUSMORHUADEMULTRACONGELADO
03036300,1500000KGSLIQUIDOSDELOMBOSDEBACALHAUDESSALGADOCONGELADO10X1KGGADUSMORHUADEMULTRACONGELADOACONDICI
03036300,1600000KGSLIQUIDOSDEPOSTASDEBACALHAUDESSALGADOCONGELADO10X800GGADUSMORHUADEMULTRACONGELADOACONDICI
03036300,1920000KGSLIQUIDOSDELOMBOSDEBACALHAUDESSALGADOCONGELADO16X06KGCX96KGGADUSMORHUADEMULTRACONGEL
03036300,2000000KGSLIQUIDOSDELOMBOSDEBACALHAUDESSALGADOCONGELADO10X1KGGADUSMORHUADEMULTRACONGELADOACONDICI
03036300,2000000KGSLIQUIDOSDEPOSTASDEBACALHAUDESSALGADOCONGELADO10X800GGADUSMORHUADEMULTRACONGELADOACONDICI
03036300,2400000KGSLIQUIDOSDELOMBOSDEBACALHAUDESSALGADOCONGELADO16X06KGCX96KGGADUSMORHUADEMULTRACONGELA
03036300,2400000KGSLIQUIDOSDELOMBOSDEBACALHAUDESSALGADOCONGELADO16X06KGCX96KGGADUSMORHUADEMULTRACONGELADO
03036300,2400000KGSLIQUIDOSDEPOSTASDEBACALHAUDESSALGADOCONGELADO10X800GGADUSMORHUADEMULTRACONGELADOACONDICI
03036300,2800000KGSLIQUIDOSDEPOSTASDEBACALHAUDESSALGADOCONGELADO10X800GGADUSMORHUADEMULTRACONGELADOACONDICI
