Cliente;Sum of Referência - Qtde Processo Ano;Sum of Referência - Valor Total Ano;Total NF;Qtde Processos;Projecao Rea, Processos;Projecao Rea, Faturamento;Referência - Qtde Processo Mês;Projecao Qtde Processo Mes
CS3 MARMORES E GRANITOS LTDA;179,5555556;92050779,12;31423994,36999998;52;44,88888888;23012694,78;14,96296296;17,333333333333332
CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA;139,1111111;51161512,25;14667036,869999992;30;34,77777777;12790378,062;11,59259259;10
Macroex Comercial Importadora e Exportadora Ltda;138,2222222;55025740,85;4307387,7;14;34,55555556;13756435,212000001;11,51851852;4,666666666666667
ACTUS ATACADO LTDA;107,2;62030560,62;8529887,299999999;12;26,799999999;15507640,155;8,933333333;4
VIMINAS VIDROS ESPECIAIS LTDA;76,88888889;39487412,01;13625995,64;13;19,222222221;9871853,004;6,407407407;4,333333333333333
KAMELL COMERCIO GLOBAL LTDA;57,33333333;20935954,34;15128197,420000004;25;14,333333333999999;5233988,583000001;4,777777778;8,333333333333334
SKYSTONE DO BRASIL LTDA;55;17543753,62;;;13,749999999;4385938,404;4,583333333;
NOBREDO COMERCIO E LOGISTICA LTDA;53,33333333;22545519,44;4829002,97;5;13,333333332;5636379,861;4,444444444;1,6666666666666667
AMT TRADING LTDA;52;13963443,51;4491928,85;13;12,999999999;3490860,879;4,333333333;4,333333333333333
"AMERICANAS S;A;";48,44444444;17438204,81;;;12,111111111;4359551,202;4,037037037;
"CS3 COMPANY IMP; EXP; LTDA";43,11111111;19487315,94;;;10,777777779000001;4871828,985;3,592592593;
TURIMEX IMPORTACAO E EXPORTACAO LTDA;41,77777778;7467393,644;3422866,83;11;10,444444443;1866848,4111000001;3,481481481;3,6666666666666665
CASTAS COMERCIO E IMPORTACAO DE BEBIDAS LTDA;32,88888889;10145232,83;5508005,65;18;8,222222223000001;2536308,2079;2,740740741;6
SUMATEX PRODUTOS QUIMICOS LTDA;27,11111111;8045337,489;5708963,299999997;18;6,777777776999999;2011334,3721;2,259259259;6
"M;A ATACADO DE PECAS PNEUS E ACESSORIOS LTDA";26;15567358,87;;;6,500000001;3891839,715;2,166666667;
GRAMARCAL GRANITOS E MARMORES CACHOEIRO LTDA;25,77777778;7476900,542;2372764,81;9;6,444444444;1869225,1356000002;2,148148148;3
MR TRADING LTDA;25,33333333;8405395,204;3766011,360000001;12;6,333333333000001;2101348,8012;2,111111111;4
PANORAMA MARMORES E GRANITOS LTDA;25,33333333;3430428,356;310528,03;2;6,333333333000001;857607,0888;2,111111111;0,6666666666666666
EXATA COMERCIO E DISTRIBUICAO DE MATERIAIS EM GERAL LTDA;19,2;9036154,568;7978958,000000002;19;4,800000000000001;2259038,6421;1,6;6,333333333333333
OPUS IMPORTACAO E COMERCIO DE EQUIPAMENTOS PARA MINERACAO LTDA;19,11111111;3667917,889;1021091,84;2;4,777777779;916979,4723;1,592592593;0,6666666666666666
"ZANEPAN COM; ATACADISTA DE GENEROS ALIMENTICIOS LTDA";19,11111111;3684639,831;;;4,777777779;921159,9578999999;1,592592593;
JEVIN COMERCIO E SERVICOS LTDA;18,66666667;1199512,293;341673,31;1;4,666666668;299878,07334;1,555555556;0,3333333333333333
OZA ROCHAS DO BRASIL LTDA;16,44444444;4769351,978;1428064,41;4;4,11111111;1192337,9943000001;1,37037037;1,3333333333333333
ROTEC EQUIPAMENTOS INDUSTRIAIS LTDA;16,44444444;1537037,316;251063,37;5;4,11111111;384259,329;1,37037037;1,6666666666666667
SANTO ANTONIO GRANITOS LTDA;15,55555556;5952181,107;1439848,8599999999;3;3,888888888;1488045,2766;1,296296296;1
ARMAZEM OFFSHORE COMERCIAL E IMPORTADORA LTDA;14,22222222;1689798,76;153319,78;3;3,5555555549999998;422449,6899;1,185185185;1
SETE DISTRIBUIDORA DE INSUMOS E ROCHAS LTDA;14,22222222;5535583,071;3300488,57;6;3,5555555549999998;1383895,7678999999;1,185185185;2
POLYCRON TEXTIL INDUSTRIAL LTDA;13,33333333;4650604,173;1471993,38;3;3,333333333;1162651,0433999998;1,111111111;1
ANBORDU COMERCIAL IMPORTADORA E EXPORTADORA LTDA ME;11,55555556;425772,4044;116974,48999999998;8;2,888888889;106443,1011;0,962962963;2,6666666666666665
REZZOLUT SOLUCOES ANTICORROSIVAS LTDA;11,55555556;1100889,418;52062,83;1;2,888888889;275222,35443;0,962962963;0,3333333333333333
MINING CONSULTING AND TRAINING LTDA;11,11111111;2018347,093;522728,9099999999;4;2,777777778;504586,7733;0,925925926;1,3333333333333333
BRASLAB PRODUTOS OTICOS EIRELI;11;232473,86;;;2,750000001;58118,46501;0,916666667;
COMARY INDÚSTRIA DE BEBIDAS LTDA;10,5;8727522,405;;;2,625;2181880,6014;0,875;
"IKM TESTING BRASIL LTDA;";10,5;1869888,315;;;2,625;467472,07889999996;0,875;
MAG BAN MARMORES E GRANITOS AQUIDABAN LTDA;10,22222222;8411777,844;424605,45000000007;2;2,555555556;2102944,461;0,851851852;0,6666666666666666
DETRONIC DESMONTES E TERRAPLANAGEM SA;10;110280,455;;;2,499999999;27570,113750999997;0,833333333;
VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA ME;10;7722524,645;;;2,499999999;1930631,1612;0,833333333;
LAZARO DOS SANTOS NASCIMENTO;9,6;1741491,144;164438,79;1;2,4000000000000004;435372,78599999996;0,8;0,3333333333333333
