Year,Month,Cliente do Processo,Tipo de Operação,Processo,Sum of Valor Total,Filial
2023,January,"AGAPE DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MARMORES E GRANITOS LTD",ENCOMENDA,22/1151AAG,168760.48,MACROEXF1
2023,January,"AGAPE DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MARMORES E GRANITOS LTD",ENCOMENDA,22/1151AGA,168621.03,MACROEXF1
2023,January,ALLONDA AMBIENTAL LTDA,ENCOMENDA,22/1490ALL,16301.08,MACROEXF1
2023,January,AMERICANAS S.A.,ENCOMENDA,22/0947AME,148867.55,MACROEXF1
2023,January,AMERICANAS S.A.,ENCOMENDA,22/0948AME,59567.91,MACROEXF1
2023,January,AMT TRADING LTDA,ENCOMENDA,22/1228AMT,312314.35,MACROEXF1
2023,January,AMT TRADING LTDA,ENCOMENDA,22/1229AMT,307329.06,MACROEXF1
2023,January,AMT TRADING LTDA,ENCOMENDA,22/1237AMT,253554.86,MACROEXF1
2023,January,AMT TRADING LTDA,ENCOMENDA,22/1326AMT,244615.04,MACROEXF1
2023,January,AMT TRADING LTDA,ENCOMENDA,22/1453AMT,235637.43,MACROEXF1
2023,January,AMT TRADING LTDA,ENCOMENDA,22/1502AMT,348798.9,MACROEXF1
2023,January,AMT TRADING LTDA,ENCOMENDA,22/1547AMT,446661.81,MACROEXF1
2023,January,ANBORDU COMERCIAL IMPORTADORA E EXPORTADORA LTDA ME,CTA E ORDE,20/0007ANB,3438.34,MACROEX
2023,January,ANBORDU COMERCIAL IMPORTADORA E EXPORTADORA LTDA ME,CTA E ORDE,20/0975ANB,3059.48,MACROEX
2023,January,ANBORDU COMERCIAL IMPORTADORA E EXPORTADORA LTDA ME,CTA E ORDE,21/0701ANB,4150.59,MACROEX
2023,January,ANBORDU COMERCIAL IMPORTADORA E EXPORTADORA LTDA ME,CTA E ORDE,22/0199ANB,11161.24,MACROEX
2023,January,ANBORDU COMERCIAL IMPORTADORA E EXPORTADORA LTDA ME,CTA E ORDE,22/0398ANB,10677.64,MACROEX
2023,January,ANBORDU COMERCIAL IMPORTADORA E EXPORTADORA LTDA ME,CTA E ORDE,22/0964ANB,17037.87,MACROEX
2023,January,ARMAZEM OFFSHORE COMERCIAL E IMPORTADORA LTDA,ENCOMENDA,22/1129ARM,90932.39,MACROEXF1
2023,January,BARTO EQUIPAMENTOS PARA EMPRESAS LTDA,ENCOMENDA,22/1159BAR,45586.44,MACROEXF1
2023,January,"BRETON DO BRASIL COMERCIO, IMPORTACAO E EXPORTACAO LTDA",CTA E ORDE,22/1514BRE,247564.2,MACROEX
2023,January,"BRETON DO BRASIL COMERCIO, IMPORTACAO E EXPORTACAO LTDA",CTA E ORDE,22/1515BRE,7751.8,MACROEX
2023,January,BRUMAGRAN PEDRAS ORNAMENTAIS LTDA,ENCOMENDA,22/1153BRU,273898.53,MACROEXF1
2023,January,CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,CTA E ORDE,22/1267CJI,112752.39,MACROEX
2023,January,CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,CTA E ORDE,22/1443CJI,959267.9,MACROEX
2023,January,CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,ENCOMENDA,22/1381CJI,652721.23,MACROEXF1
2023,January,CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,ENCOMENDA,22/1401ACI,290044.58,MACROEXF1
2023,January,CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,ENCOMENDA,22/1401BCI,361956.28,MACROEXF1
2023,January,CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,ENCOMENDA,22/1401CCI,362569.11,MACROEXF1
2023,January,CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,ENCOMENDA,22/1401CJI,288960.03,MACROEXF1
2023,January,CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,ENCOMENDA,22/1414CJI,571684.72,MACROEXF1
2023,January,CASA DO MARMORE LTDA,ENCOMENDA,22/1359CAM,105784.12,MACROEXF1
2023,January,CASTELAO COMERCIO DE PECAS LTDA,CTA E ORDE,22/1050CST,90785.89,MACROEX
2023,January,CD IMPORTADORA LTDA,ENCOMENDA,22/0856CDI,152888.88,MACROEXF1
2023,January,CENTROGRAN GRANITOS CENTRO OESTE LTDA,ENCOMENDA,22/1230CEG,180265.71,MACROEXF1
2023,January,COMARY INDÚSTRIA DE BEBIDAS LTDA,ENCOMENDA,22/1372CMY,551304.64,MACROEXF1
2023,January,COMERCIAL L&A LTDA,CTA E ORDE,22/1277CLA,412062.22,MACROEX
2023,January,CS3 COMPANY IMP. EXP. LTDA,ENCOMENDA,22/1169ACC,936095,MACROEXF1
2023,January,CS3 COMPANY IMP. EXP. LTDA,ENCOMENDA,22/1169CSC,743628.87,MACROEXF1
2023,January,CS3 COMPANY IMP. EXP. LTDA,ENCOMENDA,22/1209CSC,87180.26,MACROEXF1
2023,January,CS3 COMPANY IMP. EXP. LTDA,ENCOMENDA,22/1211CSC,110442.24,MACROEXF1
2023,January,CS3 COMPANY IMP. EXP. LTDA,ENCOMENDA,22/1213CSC,187250.18,MACROEXF1
2023,January,CS3 COMPANY IMP. EXP. LTDA,ENCOMENDA,22/1292CSC,1034705.38,MACROEXF1
2023,January,CS3 MARMORES E GRANITOS LTDA,ENCOMENDA,22/1301CS3,1238708.91,MACROEXF1
2023,January,CS3 MARMORES E GRANITOS LTDA,ENCOMENDA,22/1536CS3,722245.14,MACROEXF1
2023,January,DECOLORES MARMORES E GRANITOS DO BRASIL LTDA,ENCOMENDA,22/1548DEC,277153.64,MACROEXF1
2023,January,DRC DO BRASIL COMERCIO DE RESINA LTDA,CTA E ORDE,22/1523DRC,813064.13,MACROEX
2023,January,ESSENCIAL IMPORTACAO E EXPORTACAO LTDA EPP,ENCOMENDA,22/1358ESS,66701.89,MACROEXF1
2023,January,FCM COMERCIO IMPORTACAO E EXPORTACAO LTDA ME,CTA E ORDE,22/1363FCM,80691.05,MACROEX
2023,January,GRAMARCAL GRANITOS E MARMORES CACHOEIRO LTDA,ENCOMENDA,22/1223AGP,664490.68,MACROEXF1
2023,January,GRAMARCAL GRANITOS E MARMORES CACHOEIRO LTDA,ENCOMENDA,22/1223BGP,441685.09,MACROEXF1
2023,January,GRAMARCAL GRANITOS E MARMORES CACHOEIRO LTDA,ENCOMENDA,22/1223GPR,673309.8,MACROEXF1
2023,January,GRAMARCAL GRANITOS E MARMORES CACHOEIRO LTDA,ENCOMENDA,22/1339GPR,242289.52,MACROEXF1
