Cliente NF,CGC/CNPJ NF,Sum of Valor Total,Sum of Receita Líquida,Count of Processo,%GT Sum of Valor Total
3J MINERACAO LTDA,24475927000227,23662.2,18214.57,1,"0,00%"
3L DESENVOLVIMENTO DE PROJETOS AMBIENTAIS LTDA,15210878000129,723301.77,630140.5,2,"0,03%"
A FERREIRA,18131803000140,229892.94,182720.14,1,"0,01%"
A.C.P. INDUSTRIA DE MOVEIS LTDA,30746945000118,3278346.01,2657140.95,12,"0,14%"
A.R.L.P STONE LTDA,12671444000138,160390.99,139732.63,1,"0,01%"
ACADEMIA BODY HEALTH EIRELI - ME,19939988000187,344524.64,297225.46,2,"0,01%"
ACL CARGO TRANSPORTES LTDA,06695952000153,116250,91058.48999999999,1,"0,01%"
"ACQUA VERDE MARMORES, GRANITOS E TRANSPORTES LTDA",10786623000195,128770.7,112185.03,1,"0,01%"
ADAO NUNES SILVA,22739716000148,296544.97,240794.57999999996,1,"0,01%"
ADEGA DO VALE COMERCIO DE BEBIDAS LTDA,30510837000141,14378.4,11387.689999999999,1,"0,00%"
ADEGA PRIVADA COMERCIO DE VINHOS LTDA,32321299000172,91009.38,79426.39,1,"0,00%"
AF TRANSPORTES LTDA,38226456000147,1800,1800,1,"0,00%"
AG BRAZIL COMERCIO INTERNACIONAL LTDA,17032337000183,74826.47,65612.99,1,"0,00%"
"AGAPE DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MARMORES E GRANITOS LTD",05428023000115,45955306.96,40034626.00999998,141,"1,98%"
AION COMERCIO E DISTRIBUICAO LTDA,41936807000118,382055.06,291539.52,1,"0,02%"
ALBAMEZ INDUSTRIA DE PRODUTOS DE LIMPEZA LTDA,22440862000178,1075227.16,866525.25,5,"0,05%"
ALESSANDRO GRANITOS LTDA,43860237000155,60603.2,52797.5,1,"0,00%"
ALIANCA GRANITOS LTDA.,06247929000104,192876.23,161070.58000000002,2,"0,01%"
ALL STONE SERVICOS LTDA,13725014000114,533897.16,465131.2100000001,4,"0,02%"
ALLONDA AMBIENTAL ENGENHARIA LTDA,33189131000207,5463671.77,4320506.21,1,"0,24%"
ALLONDA AMBIENTAL LTDA,04060779000272,43066127.37,37426761.47,86,"1,85%"
ALLONDA AMBIENTAL S.A.,04060779000787,46292.23,40702.73,1,"0,00%"
ALLPRIME PUMPS EQUIPAMENTOS MECANICOS LTDA.,36983944000173,18160.8,15245.439999999999,1,"0,00%"
ALMEIDA & GONTIJO TRANSPORTES LTDA,07914939000100,345481.93,289597.69,1,"0,01%"
AMAGRAN - IMPORTACAO E EXPORTACAO LTDA,03799534000207,343267.33,299054.51,1,"0,01%"
AMANTES DO VINHO COMERCIO DE BEBIDAS EIRELI,26143208000153,1858003.93,1472489.5599999998,13,"0,08%"
AMERICANAS S.A.,00776574202450,15349569.89,13413426.799999999,45,"0,66%"
