Cliente do Processo,Sum of Valor Total,%GT Sum of Valor Total,Count of Processo,Month
CS3 MARMORES E GRANITOS LTDA,10445888.57,"1,89%",22,March
Macroex Comercial Importadora e Exportadora Ltda,10335061.319999998,"1,87%",25,October
CS3 MARMORES E GRANITOS LTDA,10112215.920000006,"1,83%",20,December
CS3 MARMORES E GRANITOS LTDA,9293447.660000002,"1,68%",18,October
Macroex Comercial Importadora e Exportadora Ltda,8806089.81,"1,59%",17,May
CS3 MARMORES E GRANITOS LTDA,8772233.449999997,"1,59%",22,June
Macroex Comercial Importadora e Exportadora Ltda,8295051.480000001,"1,50%",20,August
Macroex Comercial Importadora e Exportadora Ltda,8010434.85,"1,45%",19,September
Macroex Comercial Importadora e Exportadora Ltda,7813568.28,"1,41%",20,November
Macroex Comercial Importadora e Exportadora Ltda,7742675.390000003,"1,40%",21,December
CS3 MARMORES E GRANITOS LTDA,7034861.029999999,"1,27%",17,November
CS3 MARMORES E GRANITOS LTDA,6951135.670000004,"1,26%",11,February
CS3 MARMORES E GRANITOS LTDA,6832953.269999997,"1,24%",16,August
NOBREDO COMERCIO E LOGISTICA LTDA,6273186.0600000005,"1,13%",12,March
CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,5272075.61,"0,95%",17,November
CS3 MARMORES E GRANITOS LTDA,5124350.110000002,"0,93%",15,September
VIMINAS VIDROS ESPECIAIS LTDA,4955513.120000001,"0,90%",11,December
COMARY INDÚSTRIA DE BEBIDAS LTDA,4887921.740000001,"0,88%",3,October
NOBREDO COMERCIO E LOGISTICA LTDA,4855630.5600000005,"0,88%",12,January
Macroex Comercial Importadora e Exportadora Ltda,4799158.75,"0,87%",10,April
CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,4675510.900000001,"0,85%",16,June
CS3 MARMORES E GRANITOS LTDA,4309215.389999999,"0,78%",14,May
M.A ATACADO DE PECAS PNEUS E ACESSORIOS LTDA,4297852.949999999,"0,78%",6,January
CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,4215520.440000001,"0,76%",8,May
CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,4129780.5600000005,"0,75%",13,August
Macroex Comercial Importadora e Exportadora Ltda,4047977.7499999995,"0,73%",12,January
CS3 COMPANY IMP. EXP. LTDA,4025024.189999999,"0,73%",7,February
VIMINAS VIDROS ESPECIAIS LTDA,3999161.84,"0,72%",14,March
Macroex Comercial Importadora e Exportadora Ltda,3965753.8,"0,72%",13,March
NOBREDO COMERCIO E LOGISTICA LTDA,3946620.1,"0,71%",7,December
VIMINAS VIDROS ESPECIAIS LTDA,3937441.5,"0,71%",10,October
CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,3926261.98,"0,71%",16,July
VIMINAS VIDROS ESPECIAIS LTDA,3850822.16,"0,70%",11,May
CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,3784685.1800000006,"0,68%",13,September
AMERICANAS S.A.,3628500.2,"0,66%",6,August
CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,3599956.2400000007,"0,65%",8,January
SKYSTONE DO BRASIL LTDA,3567965.2100000004,"0,65%",7,February
AVANTI COMERCIAL EXPORTADORA S.A.,3438281,"0,62%",1,March
Macroex Comercial Importadora e Exportadora Ltda,3396643.8400000003,"0,61%",8,June
SKYSTONE DO BRASIL LTDA,3365945.4000000004,"0,61%",13,May
AMERICANAS S.A.,3296315.3100000005,"0,60%",8,November
CS3 MARMORES E GRANITOS LTDA,3217232.5900000012,"0,58%",8,July
CS3 COMPANY IMP. EXP. LTDA,3156019.8899999997,"0,57%",6,September
CS3 MARMORES E GRANITOS LTDA,3121876.4100000006,"0,56%",11,April
CS3 COMPANY IMP. EXP. LTDA,3099301.93,"0,56%",6,January
SKYSTONE DO BRASIL LTDA,3089820.67,"0,56%",7,March
KAMELL COMERCIO GLOBAL LTDA,3082732.6500000004,"0,56%",6,November
VIMINAS VIDROS ESPECIAIS LTDA,3042645.3700000006,"0,55%",4,November
CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,2999621.24,"0,54%",12,October
NOBREDO COMERCIO E LOGISTICA LTDA,2956310.11,"0,53%",8,February
M.A ATACADO DE PECAS PNEUS E ACESSORIOS LTDA,2950229.3999999994,"0,53%",6,August
CS3 COMPANY IMP. EXP. LTDA,2919122.33,"0,53%",6,October
VIMINAS VIDROS ESPECIAIS LTDA,2909420.5700000003,"0,53%",7,August
Macroex Comercial Importadora e Exportadora Ltda,2767907.2100000004,"0,50%",10,July
NOBREDO COMERCIO E LOGISTICA LTDA,2699112.37,"0,49%",7,May
SUMATEX PRODUTOS QUIMICOS LTDA,2682740.2499999995,"0,49%",5,April
CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,2637530.1799999997,"0,48%",5,February
CS3 COMPANY IMP. EXP. LTDA,2632498.690000001,"0,48%",8,August
M.A ATACADO DE PECAS PNEUS E ACESSORIOS LTDA,2631656.9699999997,"0,48%",3,July
SKYSTONE DO BRASIL LTDA,2624468.9599999995,"0,47%",5,October
BRAMAGRAN BRASILEIRO MARMORE E GRANITO LTDA,2584343.1,"0,47%",4,November
IKM TESTING BRASIL LTDA.,2583238.55,"0,47%",1,August
NOBREDO COMERCIO E LOGISTICA LTDA,2533710.68,"0,46%",6,August
AMT TRADING LTDA,2514086.0700000003,"0,45%",10,December
NOBREDO COMERCIO E LOGISTICA LTDA,2494020.97,"0,45%",8,November
M.A ATACADO DE PECAS PNEUS E ACESSORIOS LTDA,2391750.8899999997,"0,43%",4,September
VIMINAS VIDROS ESPECIAIS LTDA,2301631.11,"0,42%",6,February
AMERICANAS S.A.,2289746.61,"0,41%",4,September
CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,2222062.9600000004,"0,40%",7,December
VIMINAS VIDROS ESPECIAIS LTDA,2179524.88,"0,39%",5,January
COMARY INDÚSTRIA DE BEBIDAS LTDA,2150076.63,"0,39%",1,August
AMT TRADING LTDA,2148911.45,"0,39%",7,January
SKYSTONE DO BRASIL LTDA,2131703.4200000004,"0,39%",8,July
GRAMARCAL GRANITOS E MARMORES CACHOEIRO LTDA,2021775.0899999999,"0,37%",4,January
CS3 COMPANY IMP. EXP. LTDA,1982481.2099999997,"0,36%",7,December
CS3 MARMORES E GRANITOS LTDA,1960954.05,"0,35%",2,January
AMERICANAS S.A.,1915382.1800000002,"0,35%",5,December
AMT TRADING LTDA,1912499.2900000005,"0,35%",5,September
NOBREDO COMERCIO E LOGISTICA LTDA,1909768.7100000002,"0,35%",7,September
AMERICANAS S.A.,1900912.9300000002,"0,34%",7,October
AMERICANAS S.A.,1859537.9100000001,"0,34%",2,March
KAMELL COMERCIO GLOBAL LTDA,1852445.9000000004,"0,34%",8,June
CS3 COMPANY IMP. EXP. LTDA,1842751.0399999998,"0,33%",6,November
M.A ATACADO DE PECAS PNEUS E ACESSORIOS LTDA,1833970.9300000002,"0,33%",3,December
VIMINAS VIDROS ESPECIAIS LTDA,1774809.26,"0,32%",6,September
NOBREDO COMERCIO E LOGISTICA LTDA,1770214.25,"0,32%",7,July
CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,1758953.85,"0,32%",7,April
GRAMARCAL GRANITOS E MARMORES CACHOEIRO LTDA,1697265.56,"0,31%",3,December
Macroex Comercial Importadora e Exportadora Ltda,1697105.3200000003,"0,31%",5,February
VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA ME,1665312.8,"0,30%",2,June
CAJUGRAM IMPORTADORA E DISTRIBUIDORA LTDA,1644066.35,"0,30%",5,March
VIMINAS VIDROS ESPECIAIS LTDA,1616637.0899999999,"0,29%",7,April
MAG BAN MARMORES E GRANITOS AQUIDABAN LTDA,1579787.37,"0,29%",1,January
OZA ROCHAS DO BRASIL LTDA,1565480.25,"0,28%",4,June
NOBREDO COMERCIO E LOGISTICA LTDA,1558810.64,"0,28%",6,October
CASTAS COMERCIO E IMPORTACAO DE BEBIDAS LTDA,1558383.7000000002,"0,28%",6,December
VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA ME,1530523.6400000001,"0,28%",2,September
MEANI MARMORES E GRANITOS LTDA,1516595.47,"0,27%",1,March
KAMELL COMERCIO GLOBAL LTDA,1491519.75,"0,27%",5,October
SKYSTONE DO BRASIL LTDA,1470914.3499999999,"0,27%",2,January
DELLMAR TRANSPORTES LTDA,1362562.87,"0,25%",2,April
AMERICANAS S.A.,1321198.03,"0,24%",8,February
GRAMARCAL GRANITOS E MARMORES CACHOEIRO LTDA,1289381.6099999999,"0,23%",6,March
ITAICI COMERCIO DE PEDRAS LTDA,1259843.91,"0,23%",1,November
NOBREDO COMERCIO E LOGISTICA LTDA,1250152.9100000001,"0,23%",6,April
KAMELL COMERCIO GLOBAL LTDA,1243770.45,"0,23%",4,September
SUMATEX PRODUTOS QUIMICOS LTDA,1241243.8599999999,"0,22%",3,March
