Processos no Gesat mas Não lançado na Planilha;;;;;;;;;;;;;;;;;;;;;
GSAT;Cliente;processo;Cliente;;;;;;;;;;;;;;;;;;
220995;199;;;;;;;;;;;;;;;;;;;;
230317;;;;;;;;;;;;;;;;;;;;;
230319B;;;;;;;;;;;;;;;;;;;;;
230502;396;;;;;;;;;;;;;;;;;;;;
230702;199;;;;;;;;;;;;;;;;;;;;
230807;396;;;;;;;;;;;;;;;;;;;;
230981;199;;;;;;;;;;;;;;;;;;;;
230982;199;;;;;;;;;;;;;;;;;;;;
231011;396;;;;;;;;;;;;;;;;;;;;
231018;199;;;;;;;;;;;;;;;;;;;;
231037;396;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Processos na Planilha mas Encerrados no Gesat;;;;;;;;;;;;;;;;;;;;;
GSAT;Cliente;processo ;Cliente - Follow Up Beta;;;;;;;;;;;;;;;;;;
;;23/0543;SKYSTONE DO BRASIL;;;;;;;;;;;;;;;;;;
;;23/0639;CS3 COMPANY;;;;;;;;;;;;;;;;;;
;;23/0679;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
;;23/0681;SKYSTONE DO BRASIL;;;;;;;;;;;;;;;;;;
;;23/0709;CS3 COMPANY;;;;;;;;;;;;;;;;;;
;;23/0760;MARGRAMAR;;;;;;;;;;;;;;;;;;
;;23/0891;SKYSTONE DO BRASIL;;;;;;;;;;;;;;;;;;
;;23/0467;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Processos nas duas bases;;;;;;;;;;;;;;;;;;;;;
GSAT;Cliente;processo ;Cliente - Follow Up Beta;;;;;;;;;;;;;;;;;;
221354A;61;22/1354A;CS3 COMPANY;;;;;;;;;;;;;;;;;;
230466;396;23/0466;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230466A;396;23/0466A;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230466B;396;23/0466B;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
